"player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","bbref_link","bbref_id","first_season","last_season","espn_link","espn_number","espn_id","first_year_in_school","last_year_in_school","school_1_name","school_1_id","school_2_name","school_2_id","sport_ref_id","school_3_name","school_3_id"
"Robert Horry","Robert","Horry","robert","horry",NA,"h/horryro01","horryro01",2005,2008,"347/robert-horry",347,"robert-horry",NA,NA,NA,"alabama",NA,NA,"robert-horry-1",NA,NA
"Robert Swift","Robert","Swift","robert","swift",NA,"s/swiftro01","swiftro01",2005,2009,"2416/robert-swift",2416,"robert-swift",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Traylor","Robert","Traylor","robert","traylor",NA,"t/traylro01","traylro01",2005,2005,"857/robert-traylor",857,"robert-traylor",NA,NA,NA,"michigan",NA,NA,"robert-traylor-1",NA,NA
"Rod Strickland","Rod","Strickland","rod","strickland",NA,"s/stricro02","stricro02",2005,2005,"818/rod-strickland",818,"rod-strickland",NA,NA,NA,"depaul",NA,NA,"rod-strickland-1",NA,NA
"Rodney Buford","Rodney","Buford","rodney","buford",NA,"b/buforro01","buforro01",2005,2005,"114/rodney-buford",114,"rodney-buford",NA,NA,NA,"creighton",NA,NA,"rodney-buford-1",NA,NA
"Rodney Rogers","Rodney","Rogers","rodney","rogers",NA,"r/rogerro01","rogerro01",2005,2005,"729/rodney-rogers",729,"rodney-rogers",NA,NA,NA,"wake-forest",NA,NA,"rodney-rogers-1",NA,NA
"Rodney White","Rodney","White","rodney","white",NA,"w/whitero02","whitero02",2005,2005,"1028/rodney-white",1028,"rodney-white",NA,NA,"Charlotte",NA,NA,NA,"rodney-white-1",NA,NA
"Ron Mercer","Ron","Mercer","ron","mercer",NA,"m/mercero01","mercero01",2005,2005,"546/ron-mercer",546,"ron-mercer",NA,NA,NA,"kentucky",NA,NA,"ron-mercer-1",NA,NA
"Ronald Dupree","Ronald","Dupree","ronald","dupree",NA,"d/duprero01","duprero01",2005,2011,"2214/ronald-dupree",2214,"ronald-dupree",NA,NA,NA,"louisiana-state",NA,NA,"ronald-dupree-1",NA,NA
"Ronald Murray","Ronald","Murray","ronald","murray",NA,"m/murraro01","murraro01",2005,2010,"1777/ronald-murray",1777,"ronald-murray",1999,2002,"Meridian Community College","meridiancc","Shaw","shaw",NA,NA,NA
"Royal Ivey","Royal","Ivey","royal","ivey",NA,"i/iveyro01","iveyro01",2005,2014,"2387/royal-ivey",2387,"royal-ivey",NA,NA,"Texas",NA,NA,NA,"royal-ivey-1",NA,NA
