"player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","bbref_link","bbref_id","first_season","last_season","espn_link","espn_number","espn_id","first_year_in_school","last_year_in_school","school_1_name","school_1_id","school_2_name","school_2_id","sport_ref_id","school_3_name","school_3_id"
"Aaron McKie","Aaron","McKie","aaron","mckie",NA,"m/mckieaa01","mckieaa01",2005,2007,"539/aaron-mckie",539,"aaron-mckie",NA,NA,NA,"temple",NA,NA,"aaron-mckie-1",NA,NA
"Aaron Williams","Aaron","Williams","aaron","williams",NA,"w/williaa01","williaa01",2005,2008,"923/aaron-williams",923,"aaron-williams",NA,NA,NA,"xavier",NA,NA,"aaron-williams-1",NA,NA
"Adonal Foyle","Adonal","Foyle","adonal","foyle",NA,"f/foylead01","foylead01",2005,2009,"254/adonal-foyle",254,"adonal-foyle",NA,NA,NA,"colgate",NA,NA,"adonal-foyle-1",NA,NA
"Adrian Griffin","Adrian","Griffin","adrian","griffin",NA,"g/griffad01","griffad01",2005,2008,"285/adrian-griffin",285,"adrian-griffin",NA,NA,NA,"seton-hall",NA,NA,"adrian-griffin-1",NA,NA
"Al Harrington","Al","Harrington","al","harrington",NA,"h/harrial01","harrial01",2005,2014,"308/al-harrington",308,"al-harrington",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Al Jefferson","Al","Jefferson","al","jefferson",NA,"j/jeffeal01","jeffeal01",2005,2018,"2389/al-jefferson",2389,"al-jefferson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alan Henderson","Alan","Henderson","alan","henderson",NA,"h/hendeal01","hendeal01",2005,2007,"322/alan-henderson",322,"alan-henderson",NA,NA,NA,"indiana",NA,NA,"alan-henderson-1",NA,NA
"Aleksandar Radojevic","Aleksandar","Radojevic","aleksandar","radojevic",NA,"r/radojal01","radojal01",2005,2005,"683/aleksandar-radojevic",683,"aleksandar-radojevic",1998,1999,"Barton County Community College","bartonccc",NA,NA,NA,NA,NA
"Alex Garcia","Alex","Garcia","alex","garcia",NA,"g/garcial01","garcial01",2005,2005,"2233/alex-garcia",2233,"alex-garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allan Houston","Allan","Houston","allan","houston",NA,"h/houstal01","houstal01",2005,2005,"349/allan-houston",349,"allan-houston",NA,NA,NA,"tennessee",NA,NA,"allan-houston-1",NA,NA
"Allen Iverson","Allen","Iverson","allen","iverson",NA,"i/iversal01","iversal01",2005,2010,"366/allen-iverson",366,"allen-iverson",NA,NA,NA,"georgetown",NA,NA,"allen-iverson-1",NA,NA
"Alonzo Mourning","Alonzo","Mourning","alonzo","mourning",NA,"m/mournal01","mournal01",2005,2008,"580/alonzo-mourning",580,"alonzo-mourning",NA,NA,NA,"georgetown",NA,NA,"alonzo-mourning-1",NA,NA
"Amar'e Stoudemire","Amar'e","Stoudemire","amare","stoudemire",NA,"s/stoudam01","stoudam01",2005,2016,"1727/amar'e-stoudemire",1727,"amar'e-stoudemire",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anderson Varejao","Anderson","Varejao","anderson","varejao",NA,"v/varejan01","varejan01",2005,2017,"2419/anderson-varejao",2419,"anderson-varejao",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Barrett","Andre","Barrett","andre","barrett",NA,"b/barrean01","barrean01",2005,2008,"2509/andre-barrett",2509,"andre-barrett",NA,NA,NA,"seton-hall",NA,NA,"andre-barrett-1",NA,NA
"Andre Emmett","Andre","Emmett","andre","emmett",NA,"e/emmetan01","emmetan01",2005,2012,"2431/andre-emmett",2431,"andre-emmett",NA,NA,NA,"texas-tech",NA,NA,"andre-emmett-1",NA,NA
"Andre Iguodala","Andre","Iguodala","andre","iguodala",NA,"i/iguodan01","iguodan01",2005,2019,"2386/andre-iguodala",2386,"andre-iguodala",NA,NA,NA,"arizona",NA,NA,"andre-iguodala-1",NA,NA
"Andre Miller","Andre","Miller","andre","miller",NA,"m/millean02","millean02",2005,2016,"557/andre-miller",557,"andre-miller",NA,NA,NA,"utah",NA,NA,"andre-miller-1",NA,NA
"Andrei Kirilenko","Andrei","Kirilenko","andrei","kirilenko",NA,"k/kirilan01","kirilan01",2005,2015,"434/andrei-kirilenko",434,"andrei-kirilenko",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andres Nocioni","Andres","Nocioni","andres","nocioni",NA,"n/nocioan01","nocioan01",2005,2012,"2456/andres-nocioni",2456,"andres-nocioni",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew DeClercq","Andrew","DeClercq","andrew","declercq",NA,"d/declean01","declean01",2005,2005,"196/andrew-declercq",196,"andrew-declercq",NA,NA,NA,"florida",NA,NA,"andrew-declercq-1",NA,NA
"Andris Biedrins","Andris","Biedrins","andris","biedrins",NA,"b/biedran01","biedran01",2005,2014,"2427/andris-biedrins",2427,"andris-biedrins",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anfernee Hardaway","Anfernee","Hardaway","anfernee","hardaway",NA,"h/hardaan01","hardaan01",2005,2008,"302/anfernee-hardaway",302,"anfernee-hardaway",NA,NA,NA,"memphis",NA,NA,"anfernee-hardaway-1",NA,NA
"Ansu Sesay","Ansu","Sesay","ansu","sesay",NA,"s/sesayan01","sesayan01",2005,2005,"767/ansu-sesay",767,"ansu-sesay",NA,NA,NA,"mississippi",NA,NA,"ansu-sesay-1",NA,NA
"Antawn Jamison","Antawn","Jamison","antawn","jamison",NA,"j/jamisan01","jamisan01",2005,2014,"385/antawn-jamison",385,"antawn-jamison",NA,NA,NA,"north-carolina",NA,NA,"antawn-jamison-1",NA,NA
"Anthony Carter","Anthony","Carter","anthony","carter",NA,"c/cartean01","cartean01",2005,2012,"137/anthony-carter",137,"anthony-carter",NA,NA,NA,"hawaii",NA,NA,"anthony-carter-1",NA,NA
"Anthony Goldwire","Anthony","Goldwire","anthony","goldwire",NA,"g/goldwan01","goldwan01",2005,2006,"275/anthony-goldwire",275,"anthony-goldwire",NA,NA,NA,"houston",NA,NA,"anthony-goldwire-1",NA,NA
"Anthony Johnson","Anthony","Johnson","anthony","johnson",NA,"j/johnsan02","johnsan02",2005,2010,"396/anthony-johnson",396,"anthony-johnson",NA,NA,NA,"college-of-charleston",NA,NA,"anthony-johnson-1",NA,NA
"Anthony Miller","Anthony","Miller","anthony","miller",NA,"m/millean01","millean01",2005,2005,"554/anthony-miller",554,"anthony-miller",NA,NA,NA,"michigan-state",NA,NA,"anthony-miller-1",NA,NA
"Anthony Peeler","Anthony","Peeler","anthony","peeler",NA,"p/peelean01","peelean01",2005,2005,"642/anthony-peeler",642,"anthony-peeler",NA,NA,NA,"missouri",NA,NA,"anthony-peeler-1",NA,NA
"Antoine Walker","Antoine","Walker","antoine","walker",NA,"w/walkean02","walkean02",2005,2008,"881/antoine-walker",881,"antoine-walker",NA,NA,NA,"kentucky",NA,NA,"antoine-walker-1",NA,NA
"Antonio Burks","Antonio","Burks","antonio","burks",NA,"b/burksan01","burksan01",2005,2006,"2428/antonio-burks",2428,"antonio-burks",NA,NA,NA,"memphis",NA,NA,"antonio-burks-1",NA,NA
"Antonio Daniels","Antonio","Daniels","antonio","daniels",NA,"d/daniean01","daniean01",2005,2011,"183/antonio-daniels",183,"antonio-daniels",NA,NA,NA,"bowling-green-state",NA,NA,"antonio-daniels-1",NA,NA
"Antonio Davis","Antonio","Davis","antonio","davis",NA,"d/davisan01","davisan01",2005,2006,"189/antonio-davis",189,"antonio-davis",NA,NA,"Texas","texas-el-paso",NA,NA,"antonio-davis-1",NA,NA
"Antonio McDyess","Antonio","McDyess","antonio","mcdyess",NA,"m/mcdyean01","mcdyean01",2005,2011,"530/antonio-mcdyess",530,"antonio-mcdyess",NA,NA,NA,"alabama",NA,NA,"antonio-mcdyess-1",NA,NA
"Austin Croshere","Austin","Croshere","austin","croshere",NA,"c/croshau01","croshau01",2005,2009,"167/austin-croshere",167,"austin-croshere",NA,NA,"Providence",NA,NA,NA,"austin-croshere-1",NA,NA
"Awvee Storey","Awvee","Storey","awvee","storey",NA,"s/storeaw01","storeaw01",2005,2008,"2512/awvee-storey",2512,"awvee-storey",NA,NA,"Illinois",NA,"Arizona","arizona-state","awvee-storey-1",NA,NA
"Baron Davis","Baron","Davis","baron","davis",NA,"d/davisba01","davisba01",2005,2012,"194/baron-davis",194,"baron-davis",NA,NA,"UCLA",NA,NA,NA,"baron-davis-1",NA,NA
"Ben Gordon","Ben","Gordon","ben","gordon",NA,"g/gordobe01","gordobe01",2005,2015,"2381/ben-gordon",2381,"ben-gordon",NA,NA,NA,"connecticut",NA,NA,"ben-gordon-1",NA,NA
"Ben Handlogten","Ben","Handlogten","ben","handlogten",NA,"h/handlbe01","handlbe01",2005,2005,"2199/ben-handlogten",2199,"ben-handlogten",NA,NA,NA,"western-michigan",NA,NA,"ben-handlogten-1",NA,NA
"Ben Wallace","Ben","Wallace","ben","wallace",NA,"w/wallabe01","wallabe01",2005,2012,"885/ben-wallace",885,"ben-wallace",1995,1996,"Virginia Union","vaunion",NA,NA,NA,NA,NA
"Beno Udrih","Beno","Udrih","beno","udrih",NA,"u/udrihbe01","udrihbe01",2005,2017,"2448/beno-udrih",2448,"beno-udrih",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bernard Robinson","Bernard","Robinson","bernard","robinson",NA,"r/robinbe01","robinbe01",2005,2007,"2442/bernard-robinson",2442,"bernard-robinson",NA,NA,NA,"michigan",NA,NA,"bernard-robinson-1",NA,NA
"Billy Thomas","Billy","Thomas","billy","thomas",NA,"t/thomabi01","thomabi01",2005,2008,"2494/billy-thomas",2494,"billy-thomas",NA,NA,NA,"kansas",NA,NA,"billy-thomas-1",NA,NA
"Bo Outlaw","Bo","Outlaw","bo","outlaw",NA,"o/outlabo01","outlabo01",2005,2008,"623/bo-outlaw",623,"bo-outlaw",1992,NA,"Houston","houston",NA,NA,"bo-outlaw-1",NA,NA
"Bob Sura","Bob","Sura","bob","sura",NA,"s/surabo01","surabo01",2005,2005,"825/bob-sura",825,"bob-sura",NA,NA,NA,"florida-state",NA,NA,"bob-sura-1",NA,NA
"Bobby Jackson","Bobby","Jackson","bobby","jackson",NA,"j/jacksbo01","jacksbo01",2005,2009,"376/bobby-jackson",376,"bobby-jackson",NA,NA,NA,"minnesota",NA,NA,"bobby-jackson-1",NA,NA
"Bobby Simmons","Bobby","Simmons","bobby","simmons",NA,"s/simmobo01","simmobo01",2005,2012,"1022/bobby-simmons",1022,"bobby-simmons",NA,NA,NA,"depaul",NA,NA,"bobby-simmons-1",NA,NA
"Bonzi Wells","Bonzi","Wells","bonzi","wells",NA,"w/wellsbo01","wellsbo01",2005,2008,"901/bonzi-wells",901,"bonzi-wells",NA,NA,NA,"ball-state",NA,NA,"bonzi-wells-1",NA,NA
"Boris Diaw","Boris","Diaw","boris","diaw",NA,"d/diawbo01","diawbo01",2005,2017,"2167/boris-diaw",2167,"boris-diaw",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bostjan Nachbar","Bostjan","Nachbar","bostjan","nachbar",NA,"n/nachbbo01","nachbbo01",2005,2008,"1723/bostjan-nachbar",1723,"bostjan-nachbar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brad Miller","Brad","Miller","brad","miller",NA,"m/millebr01","millebr01",2005,2012,"556/brad-miller",556,"brad-miller",NA,NA,NA,"purdue",NA,NA,"brad-miller-1",NA,NA
"Brandin Knight","Brandin","Knight","brandin","knight",NA,"k/knighbr02","knighbr02",2005,2005,"2222/brandin-knight",2222,"brandin-knight",NA,NA,NA,"pittsburgh",NA,NA,"brandin-knight-1",NA,NA
"Brandon Hunter","Brandon","Hunter","brandon","hunter",NA,"h/huntebr01","huntebr01",2005,2005,"2007/brandon-hunter",2007,"brandon-hunter",NA,NA,NA,"ohio",NA,NA,"brandon-hunter-1",NA,NA
"Brendan Haywood","Brendan","Haywood","brendan","haywood",NA,"h/haywobr01","haywobr01",2005,2015,"1000/brendan-haywood",1000,"brendan-haywood",NA,NA,NA,"north-carolina",NA,NA,"brendan-haywood-1",NA,NA
"Brent Barry","Brent","Barry","brent","barry",NA,"b/barrybr01","barrybr01",2005,2009,"42/brent-barry",42,"brent-barry",NA,NA,NA,"oregon-state",NA,NA,"brent-barry-1",NA,NA
"Brevin Knight","Brevin","Knight","brevin","knight",NA,"k/knighbr01","knighbr01",2005,2009,"440/brevin-knight",440,"brevin-knight",NA,NA,NA,"stanford",NA,NA,"brevin-knight-1",NA,NA
"Brian Cardinal","Brian","Cardinal","brian","cardinal",NA,"c/cardibr01","cardibr01",2005,2012,"130/brian-cardinal",130,"brian-cardinal",NA,NA,NA,"purdue",NA,NA,"brian-cardinal-1",NA,NA
"Brian Cook","Brian","Cook","brian","cook",NA,"c/cookbr01","cookbr01",2005,2012,"1998/brian-cook",1998,"brian-cook",NA,NA,"Illinois",NA,NA,NA,"brian-cook-1",NA,NA
"Brian Grant","Brian","Grant","brian","grant",NA,"g/grantbr01","grantbr01",2005,2006,"280/brian-grant",280,"brian-grant",NA,NA,NA,"xavier",NA,NA,"brian-grant-1",NA,NA
"Brian Scalabrine","Brian","Scalabrine","brian","scalabrine",NA,"s/scalabr01","scalabr01",2005,2012,"1021/brian-scalabrine",1021,"brian-scalabrine",NA,NA,NA,"southern-california",NA,NA,"brian-scalabrine-1",NA,NA
"Brian Skinner","Brian","Skinner","brian","skinner",NA,"s/skinnbr01","skinnbr01",2005,2012,"779/brian-skinner",779,"brian-skinner",NA,NA,NA,"baylor",NA,NA,"brian-skinner-1",NA,NA
"Britton Johnsen","Britton","Johnsen","britton","johnsen",NA,"j/johnsbr01","johnsbr01",2005,2005,"2191/britton-johnsen",2191,"britton-johnsen",NA,NA,NA,"utah",NA,NA,"britton-johnsen-1",NA,NA
"Bruce Bowen","Bruce","Bowen","bruce","bowen",NA,"b/bowenbr01","bowenbr01",2005,2009,"83/bruce-bowen",83,"bruce-bowen",NA,NA,"Cal State Fullerton","cal-state-fullerton",NA,NA,"bruce-bowen-1",NA,NA
"Bruno Sundov","Bruno","Sundov","bruno","sundov",NA,"s/sundobr01","sundobr01",2005,2005,"824/bruno-sundov",824,"bruno-sundov",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryon Russell","Bryon","Russell","bryon","russell",NA,"r/russebr01","russebr01",2005,2006,"742/bryon-russell",742,"bryon-russell",NA,NA,"Long Beach State","long-beach-state",NA,NA,"bryon-russell-1",NA,NA
"Calbert Cheaney","Calbert","Cheaney","calbert","cheaney",NA,"c/cheanca01","cheanca01",2005,2006,"144/calbert-cheaney",144,"calbert-cheaney",NA,NA,NA,"indiana",NA,NA,"calbert-cheaney-1",NA,NA
"Calvin Booth","Calvin","Booth","calvin","booth",NA,"b/boothca01","boothca01",2005,2009,"77/calvin-booth",77,"calvin-booth",NA,NA,"Penn State","penn-state",NA,NA,"calvin-booth-1",NA,NA
"Carlos Arroyo","Carlos","Arroyo","carlos","arroyo",NA,"a/arroyca01","arroyca01",2005,2011,"1055/carlos-arroyo",1055,"carlos-arroyo",NA,NA,NA,"florida-international",NA,NA,"carlos-arroyo-1",NA,NA
"Carlos Boozer","Carlos","Boozer","carlos","boozer",NA,"b/boozeca01","boozeca01",2005,2015,"1703/carlos-boozer",1703,"carlos-boozer",NA,NA,NA,"duke",NA,NA,"carlos-boozer-1",NA,NA
"Carlos Delfino","Carlos","Delfino","carlos","delfino",NA,"d/delfica01","delfica01",2005,2013,"1999/carlos-delfino",1999,"carlos-delfino",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carmelo Anthony","Carmelo","Anthony","carmelo","anthony",NA,"a/anthoca01","anthoca01",2005,2019,"1975/carmelo-anthony",1975,"carmelo-anthony",NA,NA,NA,"syracuse",NA,NA,"carmelo-anthony-1",NA,NA
"Caron Butler","Caron","Butler","caron","butler",NA,"b/butleca01","butleca01",2005,2016,"1705/caron-butler",1705,"caron-butler",NA,NA,NA,"connecticut",NA,NA,"caron-butler-1",NA,NA
"Casey Jacobsen","Casey","Jacobsen","casey","jacobsen",NA,"j/jacobca01","jacobca01",2005,2008,"1715/casey-jacobsen",1715,"casey-jacobsen",NA,NA,NA,"stanford",NA,NA,"casey-jacobsen-1",NA,NA
"Charlie Ward","Charlie","Ward","charlie","ward",NA,"w/wardch01","wardch01",2005,2005,"888/charlie-ward",888,"charlie-ward",NA,NA,NA,"florida-state",NA,NA,"charlie-ward-1",NA,NA
"Chauncey Billups","Chauncey","Billups","chauncey","billups",NA,"b/billuch01","billuch01",2005,2014,"63/chauncey-billups",63,"chauncey-billups",NA,NA,NA,"colorado",NA,NA,"chauncey-billups-1",NA,NA
"Chris Andersen","Chris","Andersen","chris","andersen",NA,"a/anderch01","anderch01",2005,2017,"1135/chris-andersen",1135,"chris-andersen",1998,1998,"Blinn College","blinntx",NA,NA,NA,NA,NA
"Chris Bosh","Chris","Bosh","chris","bosh",NA,"b/boshch01","boshch01",2005,2016,"1977/chris-bosh",1977,"chris-bosh",NA,NA,"Georgia Tech","georgia-tech",NA,NA,"chris-bosh-1",NA,NA
"Chris Duhon","Chris","Duhon","chris","duhon",NA,"d/duhonch01","duhonch01",2005,2013,"2377/chris-duhon",2377,"chris-duhon",NA,NA,NA,"duke",NA,NA,"chris-duhon-1",NA,NA
"Chris Kaman","Chris","Kaman","chris","kaman",NA,"k/kamanch01","kamanch01",2005,2016,"1982/chris-kaman",1982,"chris-kaman",NA,NA,NA,"central-michigan",NA,NA,"chris-kaman-1",NA,NA
"Chris Mihm","Chris","Mihm","chris","mihm",NA,"m/mihmch01","mihmch01",2005,2009,"549/chris-mihm",549,"chris-mihm",NA,NA,"Texas",NA,NA,NA,"chris-mihm-1",NA,NA
"Chris Webber","Chris","Webber","chris","webber",NA,"w/webbech01","webbech01",2005,2008,"897/chris-webber",897,"chris-webber",NA,NA,NA,"michigan",NA,NA,"chris-webber-1",NA,NA
"Chris Wilcox","Chris","Wilcox","chris","wilcox",NA,"w/wilcoch01","wilcoch01",2005,2013,"1731/chris-wilcox",1731,"chris-wilcox",NA,NA,NA,"maryland",NA,NA,"chris-wilcox-1",NA,NA
"Christian Laettner","Christian","Laettner","christian","laettner",NA,"l/laettch01","laettch01",2005,2005,"453/christian-laettner",453,"christian-laettner",NA,NA,NA,"duke",NA,NA,"christian-laettner-1",NA,NA
"Chucky Atkins","Chucky","Atkins","chucky","atkins",NA,"a/atkinch01","atkinch01",2005,2010,"26/chucky-atkins",26,"chucky-atkins",NA,NA,NA,"south-florida",NA,NA,"chucky-atkins-1",NA,NA
"Clarence Weatherspoon","Clarence","Weatherspoon","clarence","weatherspoon",NA,"w/weathcl01","weathcl01",2005,2005,"896/clarence-weatherspoon",896,"clarence-weatherspoon",NA,NA,NA,"southern-mississippi",NA,NA,"clarence-weatherspoon-1",NA,NA
"Clifford Robinson","Clifford","Robinson","clifford","robinson",NA,"r/robincl02","robincl02",2005,2007,"714/clifford-robinson",714,"clifford-robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Maggette","Corey","Maggette","corey","maggette",NA,"m/maggeco01","maggeco01",2005,2013,"497/corey-maggette",497,"corey-maggette",NA,NA,NA,"duke",NA,NA,"corey-maggette-1",NA,NA
"Corliss Williamson","Corliss","Williamson","corliss","williamson",NA,"w/willico02","willico02",2005,2007,"936/corliss-williamson",936,"corliss-williamson",NA,NA,NA,"arkansas",NA,NA,"corliss-williamson-1",NA,NA
"Corsley Edwards","Corsley","Edwards","corsley","edwards",NA,"e/edwarco01","edwarco01",2005,2005,"1769/corsley-edwards",1769,"corsley-edwards",NA,NA,NA,"central-connecticut-state",NA,NA,"corsley-edwards-1",NA,NA
"Cory Alexander","Cory","Alexander","cory","alexander",NA,"a/alexaco01","alexaco01",2005,2005,"6/cory-alexander",6,"cory-alexander",NA,NA,NA,"virginia",NA,NA,"cory-alexander-1",NA,NA
"Curtis Borchardt","Curtis","Borchardt","curtis","borchardt",NA,"b/borchcu01","borchcu01",2005,2005,"1704/curtis-borchardt",1704,"curtis-borchardt",NA,NA,NA,"stanford",NA,NA,"curtis-borchardt-1",NA,NA
"Cuttino Mobley","Cuttino","Mobley","cuttino","mobley",NA,"m/moblecu01","moblecu01",2005,2009,"566/cuttino-mobley",566,"cuttino-mobley",NA,NA,NA,"rhode-island",NA,NA,"cuttino-mobley-1",NA,NA
"Dahntay Jones","Dahntay","Jones","dahntay","jones",NA,"j/jonesda02","jonesda02",2005,2017,"2008/dahntay-jones",2008,"dahntay-jones",NA,NA,NA,"rutgers","Duke","duke","dahntay-jones-1",NA,NA
"Dajuan Wagner","Dajuan","Wagner","dajuan","wagner",NA,"w/wagneda02","wagneda02",2005,2007,"1729/dajuan-wagner",1729,"dajuan-wagner",NA,NA,NA,"memphis",NA,NA,"dajuan-wagner-1",NA,NA
"Dale Davis","Dale","Davis","dale","davis",NA,"d/davisda01","davisda01",2005,2007,"187/dale-davis",187,"dale-davis",NA,NA,NA,"clemson",NA,NA,"dale-davis-1",NA,NA
"Damien Wilkins","Damien","Wilkins","damien","wilkins",NA,"w/wilkida02","wilkida02",2005,2018,"2506/damien-wilkins",2506,"damien-wilkins",NA,NA,NA,"north-carolina-state","Georgia","georgia","damien-wilkins-1",NA,NA
"Damon Jones","Damon","Jones","damon","jones",NA,"j/jonesda01","jonesda01",2005,2009,"406/damon-jones",406,"damon-jones",NA,NA,NA,"houston",NA,NA,"damon-jones-1",NA,NA
"Damon Stoudamire","Damon","Stoudamire","damon","stoudamire",NA,"s/stoudda01","stoudda01",2005,2008,"817/damon-stoudamire",817,"damon-stoudamire",NA,NA,NA,"arizona",NA,NA,"damon-stoudamire-1",NA,NA
"Damone Brown","Damone","Brown","damone","brown",NA,"b/brownda02","brownda02",2005,2005,"983/damone-brown",983,"damone-brown",NA,NA,NA,"syracuse",NA,NA,"damone-brown-1",NA,NA
"Dan Dickau","Dan","Dickau","dan","dickau",NA,"d/dickada01","dickada01",2005,2008,"1706/dan-dickau",1706,"dan-dickau",NA,NA,NA,"washington","Gonzaga","gonzaga","dan-dickau-1",NA,NA
"Dan Gadzuric","Dan","Gadzuric","dan","gadzuric",NA,"g/gadzuda01","gadzuda01",2005,2012,"1710/dan-gadzuric",1710,"dan-gadzuric",NA,NA,"UCLA",NA,NA,NA,"dan-gadzuric-1",NA,NA
"Daniel Santiago","Daniel","Santiago","daniel","santiago",NA,"s/santida01","santida01",2005,2005,"753/daniel-santiago",753,"daniel-santiago",NA,1997,"New Mexico","new-mexico",NA,NA,"daniel-santiago-1",NA,NA
"Danny Fortson","Danny","Fortson","danny","fortson",NA,"f/fortsda01","fortsda01",2005,2007,"248/danny-fortson",248,"danny-fortson",NA,NA,NA,"cincinnati",NA,NA,"danny-fortson-1",NA,NA
"Darius Miles","Darius","Miles","darius","miles",NA,"m/milesda01","milesda01",2005,2009,"550/darius-miles",550,"darius-miles",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darius Songaila","Darius","Songaila","darius","songaila",NA,"s/songada01","songada01",2005,2011,"1784/darius-songaila",1784,"darius-songaila",NA,NA,NA,"wake-forest",NA,NA,"darius-songaila-1",NA,NA
"Darko Milicic","Darko","Milicic","darko","milicic",NA,"m/milicda01","milicda01",2005,2013,"2171/darko-milicic",2171,"darko-milicic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrell Armstrong","Darrell","Armstrong","darrell","armstrong",NA,"a/armstda01","armstda01",2005,2008,"24/darrell-armstrong",24,"darrell-armstrong",1989,1991,"Fayetteville State","fayetvilst",NA,NA,NA,NA,NA
"Darrick Martin","Darrick","Martin","darrick","martin",NA,"m/martida01","martida01",2005,2008,"514/darrick-martin",514,"darrick-martin",NA,NA,"UCLA",NA,NA,NA,"darrick-martin-1",NA,NA
"Darvin Ham","Darvin","Ham","darvin","ham",NA,"h/hamda01","hamda01",2005,2005,"291/darvin-ham",291,"darvin-ham",NA,NA,NA,"texas-tech",NA,NA,"darvin-ham-1",NA,NA
"David Harrison","David","Harrison","david","harrison",NA,"h/harrida01","harrida01",2005,2008,"2383/david-harrison",2383,"david-harrison",NA,NA,NA,"colorado",NA,NA,"david-harrison-1",NA,NA
"David Wesley","David","Wesley","david","wesley",NA,"w/wesleda01","wesleda01",2005,2007,"904/david-wesley",904,"david-wesley",NA,NA,NA,"baylor",NA,NA,"david-wesley-1",NA,NA
"David West","David","West","david","west",NA,"w/westda01","westda01",2005,2018,"2177/david-west",2177,"david-west",NA,NA,NA,"xavier",NA,NA,"david-west-1",NA,NA
"Delonte West","Delonte","West","delonte","west",NA,"w/westde01","westde01",2005,2012,"2422/delonte-west",2422,"delonte-west",NA,NA,"Saint Joseph","saint-josephs",NA,NA,"delonte-west-1",NA,NA
"Derek Anderson","Derek","Anderson","derek","anderson",NA,"a/anderde01","anderde01",2005,2008,"18/derek-anderson",18,"derek-anderson",NA,NA,NA,"ohio-state","Kentucky","kentucky","derek-anderson-1",NA,NA
"Derek Fisher","Derek","Fisher","derek","fisher",NA,"f/fishede01","fishede01",2005,2014,"246/derek-fisher",246,"derek-fisher",NA,NA,"Little Rock","arkansas-little-rock",NA,NA,"derek-fisher-1",NA,NA
"DerMarr Johnson","DerMarr","Johnson","dermarr","johnson",NA,"j/johnsde03","johnsde03",2005,2008,"398/dermarr-johnson",398,"dermarr-johnson",NA,NA,NA,"cincinnati",NA,NA,"dermarr-johnson-1",NA,NA
"Derrick Coleman","Derrick","Coleman","derrick","coleman",NA,"c/colemde01","colemde01",2005,2005,"156/derrick-coleman",156,"derrick-coleman",NA,NA,NA,"syracuse",NA,NA,"derrick-coleman-1",NA,NA
"DeSagana Diop","DeSagana","Diop","desagana","diop",NA,"d/diopde01","diopde01",2005,2013,"992/desagana-diop",992,"desagana-diop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeShawn Stevenson","DeShawn","Stevenson","deshawn","stevenson",NA,"s/stevede01","stevede01",2005,2013,"808/deshawn-stevenson",808,"deshawn-stevenson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmond Mason","Desmond","Mason","desmond","mason",NA,"m/masonde01","masonde01",2005,2010,"518/desmond-mason",518,"desmond-mason",NA,NA,NA,"oklahoma-state",NA,NA,"desmond-mason-1",NA,NA
"Devean George","Devean","George","devean","george",NA,"g/georgde01","georgde01",2005,2010,"267/devean-george",267,"devean-george",1996,1999,"Augsburg College","augsburgmn",NA,NA,NA,NA,NA
"Devin Brown","Devin","Brown","devin","brown",NA,"b/brownde02","brownde02",2005,2010,"1858/devin-brown",1858,"devin-brown",NA,NA,"Texas","texas-san-antonio",NA,NA,"devin-brown-1",NA,NA
"Devin Harris","Devin","Harris","devin","harris",NA,"h/harride01","harride01",2005,2019,"2382/devin-harris",2382,"devin-harris",NA,NA,NA,"wisconsin",NA,NA,"devin-harris-1",NA,NA
"Didier Ilunga-Mbenga","Didier","Ilunga-Mbenga","didier","ilunga-mbenga",NA,"m/mbengdj01","mbengdj01",2005,2011,"2450/didier-ilunga-mbenga",2450,"didier-ilunga-mbenga",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dikembe Mutombo","Dikembe","Mutombo","dikembe","mutombo",NA,"m/mutomdi01","mutomdi01",2005,2009,"588/dikembe-mutombo",588,"dikembe-mutombo",NA,NA,NA,"georgetown",NA,NA,"dikembe-mutombo-1",NA,NA
"Dion Glover","Dion","Glover","dion","glover",NA,"g/glovedi01","glovedi01",2005,2005,"274/dion-glover",274,"dion-glover",NA,NA,"Georgia Tech","georgia-tech",NA,NA,"dion-glover-1",NA,NA
"Dirk Nowitzki","Dirk","Nowitzki","dirk","nowitzki",NA,"n/nowitdi01","nowitdi01",2005,2019,"609/dirk-nowitzki",609,"dirk-nowitzki",NA,NA,NA,NA,NA,NA,NA,NA,NA
